"","pi[Zi1]","pi[Zi2]","pi[Zi3]"
"Z[1]",97.971,2.029,0
"Z[2]",96.381,3.619,0
"Z[3]",100,0,0
"Z[4]",100,0,0
"Z[5]",100,0,0
"Z[6]",100,0,0
"Z[7]",100,0,0
"Z[8]",100,0,0
"Z[9]",95.977,4.023,0
"Z[10]",100,0,0
"Z[11]",100,0,0
"Z[12]",100,0,0
"Z[13]",100,0,0
"Z[14]",100,0,0
"Z[15]",100,0,0
"Z[16]",100,0,0
"Z[17]",100,0,0
"Z[18]",99.421,0.579,0
"Z[19]",99.989,0.011,0
"Z[20]",99.64,0.36,0
"Z[21]",100,0,0
"Z[22]",100,0,0
"Z[23]",100,0,0
"Z[24]",100,0,0
"Z[25]",100,0,0
"Z[26]",96.454,3.546,0
"Z[27]",100,0,0
"Z[28]",100,0,0
"Z[29]",100,0,0
"Z[30]",100,0,0
"Z[31]",100,0,0
"Z[32]",100,0,0
"Z[33]",96.519,3.481,0
"Z[34]",100,0,0
"Z[35]",100,0,0
"Z[36]",100,0,0
"Z[37]",100,0,0
"Z[38]",100,0,0
"Z[39]",100,0,0
"Z[40]",100,0,0
"Z[41]",97.844,2.156,0
"Z[42]",100,0,0
"Z[43]",100,0,0
"Z[44]",100,0,0
"Z[45]",100,0,0
"Z[46]",100,0,0
"Z[47]",100,0,0
"Z[48]",100,0,0
"Z[49]",100,0,0
"Z[50]",99.865,0.135,0
"Z[51]",100,0,0
"Z[52]",100,0,0
